Author,Paper_Count,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
France,198,461,35,0.5385,0.0038,0.576,0.178
CCAMLR,65,5,4,0.0615,0.0001,0.3735,0.0191
United Kingdom,737,1087,38,0.5846,0.0058,0.6069,0.1883
United States,522,765,37,0.5692,0.0056,0.5859,0.1841
Belarus,28,1,1,0.0154,0.0,0.2981,0.004
COMNAP,203,57,23,0.3538,0.0057,0.472,0.1135
Australia,552,658,37,0.5692,0.005,0.5962,0.1851
New Zealand,461,526,33,0.5077,0.0112,0.5571,0.168
SCAR,366,286,40,0.6154,0.0565,0.6293,0.1774
Netherlands,148,330,34,0.5231,0.0053,0.5664,0.1734
Canada,20,22,16,0.2462,0.001,0.4357,0.0827
IHO,33,4,4,0.0615,0.0,0.354,0.0184
WMO,96,60,23,0.3538,0.004,0.4787,0.1183
Chile,374,588,40,0.6154,0.0175,0.6293,0.1892
Norway,271,668,34,0.5231,0.0035,0.5664,0.1732
Portugal,49,190,31,0.4769,0.0021,0.5394,0.1608
Argentina,372,540,33,0.5077,0.0085,0.5481,0.1645
Korea (ROK),136,144,34,0.5231,0.0024,0.5664,0.1769
Bulgaria,57,183,34,0.5231,0.003,0.5664,0.1746
Germany,261,443,35,0.5385,0.0038,0.576,0.178
Japan,125,139,31,0.4769,0.0014,0.5394,0.1651
Belgium,126,415,39,0.6,0.0096,0.6179,0.1893
Spain,158,519,36,0.5538,0.005,0.5859,0.1817
Sweden,68,258,33,0.5077,0.0041,0.5481,0.1706
India,111,181,35,0.5385,0.0028,0.576,0.1805
Italy,165,223,33,0.5077,0.002,0.5481,0.1719
Poland,75,155,35,0.5385,0.0043,0.576,0.1784
South Africa,77,138,34,0.5231,0.0039,0.5664,0.1725
TÃ¼rkiye,63,54,26,0.4,0.0265,0.4998,0.1266
IAATO,274,164,34,0.5231,0.012,0.5571,0.1683
ASOC,290,90,21,0.3231,0.002,0.4593,0.1086
Uruguay,87,171,31,0.4769,0.0068,0.5149,0.1538
Switzerland,3,0,0,0.0,0.0,0.0,0.0
Ecuador,109,111,12,0.1846,0.002,0.3952,0.0516
Brazil,145,214,32,0.4923,0.0095,0.5394,0.1564
Peru,71,167,29,0.4462,0.0105,0.4998,0.1421
Colombia,9,22,8,0.1231,0.0005,0.3776,0.0322
Venezuela,3,21,7,0.1077,0.0,0.3694,0.0283
China,122,126,22,0.3385,0.0003,0.4655,0.1202
Malaysia,11,19,19,0.2923,0.0,0.4472,0.103
Finland,65,236,36,0.5538,0.0075,0.5859,0.1783
Ukraine,72,77,26,0.4,0.0005,0.4925,0.1423
Czechia,48,112,34,0.5231,0.0024,0.5664,0.1769
IUCN,40,8,2,0.0308,0.0,0.354,0.011
Russian Federation,277,139,29,0.4462,0.0012,0.5149,0.1534
Monaco,8,30,11,0.1692,0.0,0.4046,0.061
IGP&I Clubs,4,0,0,0.0,0.0,0.0,0.0
Romania,72,50,22,0.3385,0.0004,0.4655,0.1171
IOPC Funds,3,0,0,0.0,0.0,0.0,0.0
Estonia,3,0,0,0.0,0.0,0.0,0.0
ICAO,1,0,0,0.0,0.0,0.0,0.0
ACAP,6,0,0,0.0,0.0,0.0,0.0
IMO,4,0,0,0.0,0.0,0.0,0.0
Iceland,1,0,0,0.0,0.0,0.0,0.0
Kazakhstan,1,0,0,0.0,0.0,0.0,0.0
IPCC,2,0,0,0.0,0.0,0.0,0.0
Austria,3,0,0,0.0,0.0,0.0,0.0
UNEP,20,11,6,0.0923,0.0,0.3694,0.0318
IPY-IPO,4,2,1,0.0154,0.0,0.3398,0.0056
ATS,26,0,0,0.0,0.0,0.0,0.0
IOC,8,0,0,0.0,0.0,0.0,0.0
Greece,6,0,0,0.0,0.0,0.0,0.0
Slovakia,1,0,0,0.0,0.0,0.0,0.0
Denmark,3,0,0,0.0,0.0,0.0,0.0
Korea (DPRK),3,0,0,0.0,0.0,0.0,0.0
WTO,1,0,0,0.0,0.0,0.0,0.0
